"id","year","y","n","k"
"886","1982",4.57922792434692,0.571544289588928,3.57746911048889
"886","1983",4.47218894958496,0.640800714492798,3.61086201667786
"886","1984",4.56703519821167,0.440832287073135,3.69474792480469
"886","1985",4.88500595092773,0.547543227672577,3.79656600952148
"886","1986",4.99905776977539,0.547543227672577,3.97641897201538
"886","1987",5.11717319488525,0.585561990737915,4.08171510696411
"886","1988",5.15291404724121,0.518793821334839,4.22347021102905
"886","1989",5.19943380355835,0.639746427536011,4.37767887115479
"1030","1982",4.16229009628296,0.211070999503136,3.11231398582458
"1030","1983",4.29909420013428,0.276115387678146,3.22705006599426
"1030","1984",4.5224928855896,0.204572200775146,3.40306901931763
"1030","1985",4.71072196960449,0.368109285831451,3.64460492134094
"1030","1986",4.71715307235718,0.442760914564133,3.79881811141968
"1030","1987",4.78446197509766,0.525911271572113,3.95642304420471
"1030","1988",4.88073778152466,0.412771701812744,4.06786012649536
"1030","1989",4.71644592285156,0.362557590007782,4.2147102355957
"1723","1982",6.59597396850586,2.45950293540955,5.11797618865967
"1723","1983",6.46139478683472,1.89461696147919,4.89223289489746
"1723","1984",6.48865509033203,2.31550097465515,4.80501079559326
"1723","1985",6.47394323348999,2.25044894218445,4.81341695785522
"1723","1986",6.56660079956055,2.54183793067932,5.57237815856934
"1723","1987",7.05855512619019,2.4822359085083,5.62337112426758
"1723","1988",6.67094802856445,2.02009010314941,4.90591716766357
"1723","1989",6.66525793075562,2.01796507835388,4.95051097869873
"1909","1982",3.53366899490356,-0.755022585391998,2.17141008377075
"1909","1983",3.65748596191406,-0.723606288433075,2.38040900230408
"1909","1984",3.6843090057373,-0.562118887901306,2.78752207756042
"1909","1985",3.92797589302063,-0.24846139550209,3.020348072052
"1909","1986",4.01958608627319,-0.168418601155281,3.31085300445557
"1909","1987",4.10500383377075,-0.139262095093727,3.51767611503601
"1909","1988",4.42317485809326,0.262364208698273,3.78675603866577
"1909","1989",4.51466417312622,0,3.73589396476746
"2824","1982",8.04094409942627,3.4702570438385,7.19314193725586
"2824","1983",8.11899662017822,3.53596091270447,7.37762498855591
"2824","1984",8.13474464416504,3.5165479183197,7.56384897232056
"2824","1985",8.17740631103516,3.54794907569885,7.69038200378418
"2824","1986",8.27625370025635,3.57666206359863,7.82715892791748
"2824","1987",8.38659954071045,3.63304901123047,7.95842504501343
"2824","1988",8.46529006958008,3.65715599060059,8.07289791107178
