"id","t","exp","wks","occ","ind","south","smsa","ms","fem","union","ed","blk","lwage"
"1",1,3,32,0,0,1,0,1,0,0,9,0,5.56067991256714
"1",2,4,43,0,0,1,0,1,0,0,9,0,5.72031021118164
"1",3,5,40,0,0,1,0,1,0,0,9,0,5.99644994735718
"1",4,6,39,0,0,1,0,1,0,0,9,0,5.99644994735718
"1",5,7,42,0,1,1,0,1,0,0,9,0,6.06146001815796
"1",6,8,35,0,1,1,0,1,0,0,9,0,6.17378997802734
"1",7,9,32,0,1,1,0,1,0,0,9,0,6.24417018890381
"2",1,30,34,1,0,0,0,1,0,0,11,0,6.16331005096436
"2",2,31,27,1,0,0,0,1,0,0,11,0,6.21461009979248
"2",3,32,33,1,1,0,0,1,0,1,11,0,6.26340007781982
"2",4,33,30,1,1,0,0,1,0,0,11,0,6.54391002655029
"2",5,34,30,1,1,0,0,1,0,0,11,0,6.69703006744385
"2",6,35,37,1,1,0,0,1,0,0,11,0,6.79122018814087
"2",7,36,30,1,1,0,0,1,0,0,11,0,6.81563997268677
"3",1,6,50,1,1,0,0,1,0,1,12,0,5.65249013900757
"3",2,7,51,1,1,0,0,1,0,1,12,0,6.43615007400513
"3",3,8,50,1,1,0,0,1,0,1,12,0,6.54822015762329
"3",4,9,52,1,1,0,0,1,0,1,12,0,6.60259008407593
"3",5,10,52,1,1,0,0,1,0,1,12,0,6.69579982757568
"3",6,11,52,1,1,0,0,0,0,1,12,0,6.77877998352051
"3",7,12,46,1,1,0,0,0,0,1,12,0,6.86066007614136
"4",1,31,52,1,0,0,1,0,1,0,10,1,6.15698003768921
"4",2,32,46,1,0,0,1,0,1,0,10,1,6.23831987380981
"4",3,33,46,1,0,0,1,0,1,0,10,1,6.30078983306885
"4",4,34,49,1,0,0,1,0,1,0,10,1,6.3595700263977
"4",5,35,44,1,0,0,1,0,1,0,10,1,6.46925020217896
"4",6,36,52,1,0,0,1,0,1,0,10,1,6.56243991851807
"4",7,37,46,1,0,0,1,0,1,0,10,1,6.62140989303589
"5",1,10,50,1,0,0,0,1,0,1,16,0,6.4377498626709
"5",2,11,46,1,0,0,0,1,0,1,16,0,6.62006998062134
"5",3,12,40,1,0,0,0,1,0,1,16,0,6.63331985473633
"5",4,13,50,0,0,0,0,1,0,0,16,0,6.98286008834839
"5",5,14,47,1,0,0,1,1,0,0,16,0,7.04752016067505
"5",6,15,47,0,0,0,0,1,0,0,16,0,7.31322002410889
"5",7,16,49,0,0,0,0,1,0,0,16,0,7.29574012756348
"6",1,26,44,1,1,0,1,1,0,0,12,0,6.90574979782104
"6",2,27,47,1,1,0,1,1,0,0,12,0,6.90574979782104
"6",3,28,47,1,1,0,1,1,0,0,12,0,6.90776014328003
"6",4,29,47,1,1,0,1,1,0,0,12,0,7.00306987762451
"6",5,30,44,1,1,0,1,1,0,0,12,0,7.06901979446411
"6",6,31,45,1,1,0,1,1,0,0,12,0,7.52022981643677
"6",7,32,47,1,1,0,1,1,0,0,12,0,7.33889007568359
"7",1,15,46,1,0,0,0,1,0,1,12,0,6.13339996337891
"7",2,16,48,1,0,0,0,1,0,1,12,0,6.17378997802734
"7",3,17,49,1,0,0,0,1,0,1,12,0,6.21260976791382
"7",4,18,46,1,0,0,0,1,0,1,12,0,6.31354999542236
"7",5,19,47,1,0,0,0,1,0,1,12,0,6.37502002716064
"7",6,20,47,1,0,0,0,1,0,1,12,0,6.44572019577026
"7",7,21,48,1,0,0,0,1,0,1,12,0,6.52208995819092
"8",1,23,51,1,1,1,0,1,0,1,10,0,6.33150005340576
"8",2,24,50,1,1,1,0,1,0,1,10,0,6.4035701751709
"8",3,25,50,1,1,1,0,1,0,1,10,0,6.54391002655029
"8",4,26,50,1,1,1,0,1,0,1,10,0,6.56243991851807
"8",5,27,44,1,1,0,1,1,0,1,10,0,6.59167003631592
"8",6,28,51,1,1,0,1,1,0,1,10,0,6.8178300857544
"8",7,29,51,1,1,0,1,1,0,1,10,0,6.89163017272949
"9",1,3,50,0,0,1,1,1,0,0,16,0,6.55108022689819
"9",2,4,48,0,0,1,1,1,0,0,16,0,6.55108022689819
"9",3,5,50,0,0,1,1,1,0,0,16,0,6.80239009857178
"9",4,6,48,0,0,1,1,1,0,0,16,0,6.90776014328003
"9",5,7,48,0,0,1,1,1,0,0,16,0,7.09007978439331
"9",6,8,44,0,0,1,1,1,0,0,16,0,7.17011976242065
"9",7,9,48,0,0,1,1,1,0,0,16,0,7.20785999298096
"10",1,3,49,0,0,1,1,1,0,0,16,0,6.39693021774292
"10",2,4,47,0,0,1,1,1,0,0,16,0,6.4377498626709
"10",3,5,46,0,0,1,1,1,0,0,16,0,6.4377498626709
"10",4,6,44,0,0,1,1,1,0,0,16,0,6.4377498626709
"10",5,7,43,0,0,1,1,1,0,0,16,0,6.52208995819092
"10",6,8,34,0,0,1,1,1,0,0,16,0,6.61337995529175
"10",7,9,40,0,0,1,1,1,0,0,16,0,6.73933982849121
"11",1,24,47,1,0,0,1,0,0,1,12,0,6.65801000595093
"11",2,25,48,1,0,0,1,0,0,1,12,0,6.72623014450073
"11",3,26,45,1,0,0,1,0,0,1,12,0,6.80239009857178
"11",4,27,45,1,0,0,1,1,0,1,12,0,6.90776014328003
"11",5,28,47,1,0,0,1,1,0,1,12,0,7.03965997695923
"11",6,29,17,1,0,0,1,1,0,1,12,0,7.12768983840942
"11",7,30,47,1,0,0,1,1,0,1,12,0,7.24422979354858
"12",1,21,47,1,0,1,1,1,0,1,12,0,6.55108022689819
"12",2,22,46,1,0,1,1,1,0,1,12,0,6.62936019897461
"12",3,23,47,1,0,1,1,1,0,1,12,0,6.7226300239563
"12",4,24,47,1,0,1,1,1,0,1,12,0,6.73339986801147
"12",5,25,47,1,0,1,1,1,0,1,12,0,6.7226300239563
"12",6,26,47,1,0,1,1,1,0,1,12,0,6.95176982879639
